Date,Open,High,Low,Close,Volume
2014/9/29,100.589996,100.690002,98.040001,99.620003,142718700
2014/10/6,99.949997,102.379997,98.309998,100.730003,280258200
2014/10/13,101.330002,101.779999,95.18,97.669998,358539800
2014/10/20,98.32,105.489998,98.220001,105.220001,358532900
2014/10/27,104.849998,108.040001,104.699997,108,220230600
2014/11/3,108.220001,110.300003,107.720001,109.010002,199952900
2014/11/10,109.019997,114.190002,108.400002,114.18,205166700
2014/11/17,114.269997,117.57,113.300003,116.470001,233414700
2014/11/24,116.849998,119.75,116.620003,118.93,181873900
2014/12/1,118.809998,119.25,111.269997,115,266589700
2014/12/8,114.099998,114.849998,109.349998,109.730003,259868000
2014/12/15,110.699997,113.239998,106.260002,111.779999,328856600
2014/12/22,112.160004,114.519997,111.970001,113.989998,119396500
2014/12/29,113.790001,114.769997,107.349998,109.330002,152088400
2015/1/5,108.290001,113.25,104.629997,112.010002,283252500
2015/1/12,112.599998,112.800003,105.199997,105.989998,303607000
2015/1/19,107.839996,113.75,106.5,112.980003,198737000
2015/1/26,113.739998,120,109.029999,117.160004,465842700
2015/2/2,118.050003,120.510002,116.080002,118.93,270757300
2015/2/9,118.550003,127.480003,118.43,127.080002,303206800
2015/2/16,127.489998,129.5,126.919998,129.5,194354900
2015/2/23,130.020004,133.600006,126.610001,128.460007,368216200
2015/3/2,129.25,130.279999,125.760002,126.599998,246938500
2015/3/9,127.959999,129.570007,121.629997,123.589996,326514100
2015/3/16,123.879997,129.25,122.870003,125.900002,266672900
2015/3/23,127.120003,128.039993,122.599998,123.25,209326300
2015/3/30,124.050003,126.489998,123.099998,125.32,162031800
2015/4/6,124.470001,128.119995,124.330002,127.099998,182207500
2015/4/13,128.369995,128.570007,124.459999,124.75,171186100
2015/4/20,125.57,130.630005,125.169998,130.279999,207440700
2015/4/27,132.309998,134.539993,124.580002,128.949997,420972300
2015/5/4,129.5,130.570007,123.360001,127.620003,271892000
2015/5/11,127.389999,129.490005,124.82,128.770004,208301500
2015/5/18,128.380005,132.970001,128.360001,132.539993,217297400
2015/5/25,132.600006,132.910004,129.119995,130.279999,198148600
2015/6/1,130.279999,131.389999,128.360001,128.649994,170746700
